,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycle_Glass,Recycle_Metal,Recycle_Paper,Recycle_Plastic,Cook_Airfryer,Cook_Grill,Cook_Microwave,Cook_Oven,Cook_Stove
1021,underweight,female,vegetarian,daily,wood,walk/bicycle,none,often,105,rarely,65,large,6,3,3,0,0,1065,0,1,1,0,1,1,1,1,0
1022,overweight,male,omnivore,twice a day,coal,walk/bicycle,none,often,227,never,20,medium,2,22,36,9,0,2280,0,0,0,0,1,1,1,1,1
1023,obese,male,vegan,daily,electricity,walk/bicycle,none,often,136,frequently,98,extra large,5,24,8,22,0,2410,0,1,1,0,1,1,1,1,1
1024,normal,male,vegetarian,more frequently,coal,private,hybrid,never,50,never,288,large,2,8,21,14,2,1042,0,1,1,1,1,1,1,0,0
1025,overweight,female,vegetarian,twice a day,electricity,private,hybrid,never,116,rarely,4998,large,4,3,43,5,2,2386,0,0,0,0,1,1,0,1,0
1026,normal,male,vegetarian,more frequently,electricity,private,diesel,never,91,rarely,1340,medium,2,24,26,7,1,1414,0,0,1,0,1,1,1,1,0
1027,normal,female,pescatarian,twice a day,coal,public,bus,sometimes,202,never,1507,small,3,24,12,10,1,1024,1,1,1,0,1,1,0,1,1
1028,overweight,female,omnivore,daily,electricity,walk/bicycle,none,never,114,frequently,38,extra large,2,8,33,5,0,1694,0,0,1,0,0,0,1,1,0
1029,overweight,male,vegan,less frequently,electricity,private,hybrid,never,240,rarely,9798,large,6,1,27,11,0,3170,1,1,1,0,1,1,1,1,0
1030,underweight,female,omnivore,twice a day,electricity,walk/bicycle,none,often,155,rarely,40,large,6,20,46,13,1,1833,0,0,0,0,1,1,1,0,0
1031,obese,female,vegan,less frequently,natural gas,walk/bicycle,none,never,267,very frequently,19,extra large,4,21,33,10,1,2912,1,0,1,1,1,1,1,1,1
1032,overweight,female,vegetarian,more frequently,coal,public,bus,often,110,never,1386,extra large,7,19,45,13,0,2327,0,0,1,1,1,1,1,0,1
1033,underweight,female,omnivore,daily,natural gas,walk/bicycle,none,often,191,very frequently,71,small,7,8,4,16,1,2124,1,0,0,0,0,0,0,0,1
1034,obese,male,vegan,more frequently,natural gas,public,bus,often,69,never,1767,large,3,12,8,16,0,1483,1,1,0,1,0,0,0,1,1
1035,obese,female,pescatarian,more frequently,wood,walk/bicycle,none,never,289,frequently,24,medium,3,6,20,15,2,1913,1,0,1,1,1,1,0,1,1
1036,underweight,female,vegetarian,less frequently,natural gas,private,diesel,often,57,frequently,1658,large,3,18,44,15,2,2228,1,0,1,0,1,1,1,1,0
1037,obese,male,vegan,less frequently,natural gas,walk/bicycle,none,sometimes,285,never,1,medium,7,23,49,23,0,2283,1,1,0,0,0,0,0,1,1
1038,overweight,male,pescatarian,less frequently,wood,walk/bicycle,none,never,272,very frequently,55,large,5,19,6,12,0,2945,0,0,1,1,0,0,0,1,1
1039,underweight,female,vegetarian,twice a day,natural gas,private,lpg,never,87,frequently,5964,extra large,4,2,37,9,1,3176,0,0,0,0,0,0,1,0,0
1040,underweight,male,pescatarian,daily,natural gas,walk/bicycle,none,never,92,never,28,extra large,1,13,39,21,1,1236,0,0,1,1,0,0,0,1,0
1041,normal,female,vegetarian,daily,wood,private,hybrid,sometimes,266,frequently,7304,large,3,3,40,3,1,2693,0,0,1,1,1,1,1,0,0
1042,normal,male,omnivore,less frequently,coal,walk/bicycle,none,often,234,frequently,28,medium,1,2,16,10,1,1809,1,1,1,0,0,0,0,1,0
1043,normal,male,vegan,less frequently,natural gas,walk/bicycle,none,sometimes,89,very frequently,24,medium,3,20,0,21,0,2055,1,1,1,0,0,0,0,1,1
1044,overweight,female,vegetarian,twice a day,electricity,public,bus,often,279,frequently,658,extra large,1,10,5,16,1,1320,0,1,1,1,1,1,1,0,0
1045,normal,male,vegetarian,daily,coal,walk/bicycle,none,never,278,rarely,34,medium,3,20,0,16,2,1344,0,1,0,0,0,0,0,1,1
1046,obese,male,pescatarian,twice a day,coal,walk/bicycle,none,never,288,rarely,80,medium,1,15,3,23,0,1532,1,0,1,1,0,0,0,0,1
1047,normal,female,vegetarian,more frequently,coal,public,bus,never,185,frequently,996,extra large,5,18,31,17,1,2306,1,1,0,0,0,0,0,1,0
1048,overweight,male,omnivore,daily,wood,public,bus,sometimes,298,never,1993,large,4,23,38,17,1,2430,0,0,0,0,0,0,0,1,0
1049,normal,female,vegan,less frequently,wood,walk/bicycle,none,sometimes,124,rarely,80,small,4,3,26,5,0,846,1,1,1,1,1,1,0,0,0
1050,normal,female,pescatarian,less frequently,electricity,private,petrol,sometimes,228,never,6574,extra large,5,19,23,1,0,3263,1,1,1,1,1,1,1,0,1
1051,normal,female,omnivore,daily,natural gas,walk/bicycle,none,never,235,very frequently,2,extra large,6,11,15,6,2,2424,1,1,1,1,0,0,0,0,1
1052,overweight,male,pescatarian,twice a day,electricity,public,bus,never,80,never,1697,small,5,20,35,4,2,1171,1,0,0,1,0,0,1,0,0
1053,underweight,female,pescatarian,less frequently,electricity,walk/bicycle,none,never,202,rarely,20,large,2,14,47,18,2,1289,0,0,1,0,1,1,1,1,0
1054,normal,female,omnivore,more frequently,coal,private,lpg,sometimes,218,rarely,8770,small,1,19,36,16,1,3716,0,0,0,1,0,0,0,0,1
1055,normal,male,omnivore,twice a day,coal,public,bus,often,145,very frequently,111,small,7,4,31,6,2,2967,1,0,1,1,1,1,1,1,0
1056,overweight,female,vegan,more frequently,coal,public,bus,sometimes,131,very frequently,74,small,7,13,19,12,2,2457,0,0,1,1,0,0,0,1,1
1057,obese,male,pescatarian,less frequently,wood,walk/bicycle,none,often,204,never,41,extra large,6,16,46,20,0,2845,0,1,0,1,0,0,0,1,0
1058,overweight,male,omnivore,less frequently,wood,private,diesel,never,163,very frequently,8194,small,6,21,21,14,2,4790,1,1,1,0,0,0,0,1,1
1059,underweight,female,pescatarian,less frequently,coal,public,bus,often,287,very frequently,203,medium,5,17,10,11,1,2179,0,1,1,1,0,0,0,1,1
1060,obese,male,omnivore,twice a day,natural gas,private,lpg,never,213,rarely,5074,extra large,7,3,44,8,0,4622,0,1,1,0,1,1,1,1,1
1061,obese,male,omnivore,more frequently,coal,walk/bicycle,none,often,233,never,20,small,1,11,20,2,2,1964,0,0,0,1,0,0,1,0,1
1062,underweight,male,vegetarian,daily,natural gas,public,bus,often,144,never,551,medium,6,3,13,4,2,1351,0,0,0,0,1,1,0,0,1
1063,overweight,male,pescatarian,less frequently,wood,walk/bicycle,none,never,245,rarely,86,small,4,16,7,16,1,1125,1,1,0,1,1,1,0,0,0
1064,obese,male,omnivore,twice a day,coal,private,petrol,never,150,frequently,8922,small,4,23,49,12,2,7033,1,1,0,1,1,1,1,1,1
1065,underweight,female,vegetarian,twice a day,coal,public,bus,sometimes,154,rarely,1412,medium,1,5,46,5,2,1591,1,0,0,0,0,0,1,1,1
1066,normal,female,vegan,daily,coal,public,bus,never,60,frequently,616,large,3,4,18,8,0,1711,1,0,0,0,1,1,0,0,0
1067,underweight,male,vegan,daily,electricity,public,bus,often,73,frequently,998,large,3,8,1,0,1,1095,1,1,1,1,1,1,0,1,0
1068,underweight,male,vegan,twice a day,electricity,private,hybrid,often,182,very frequently,2791,medium,5,6,41,8,0,3326,0,0,0,1,0,0,0,1,1
1069,overweight,female,vegan,less frequently,wood,walk/bicycle,none,never,192,very frequently,45,small,7,20,2,1,1,2127,0,0,1,0,1,1,0,1,0
1070,normal,female,vegetarian,less frequently,electricity,private,diesel,never,259,frequently,6207,large,7,16,3,6,2,2929,0,1,1,0,1,1,1,1,1
1071,overweight,female,vegan,twice a day,wood,public,bus,often,210,very frequently,1960,medium,1,14,1,19,1,2161,1,1,0,0,1,1,0,1,1
1072,normal,male,vegetarian,more frequently,natural gas,private,petrol,sometimes,96,frequently,1614,extra large,1,3,18,8,2,1952,1,1,1,1,1,1,0,0,0
1073,normal,female,vegan,less frequently,coal,private,electric,never,187,rarely,5175,small,6,6,44,13,2,1650,1,0,0,0,1,1,1,1,1
1074,overweight,male,pescatarian,daily,electricity,public,bus,often,84,rarely,952,small,7,19,49,16,0,1672,1,0,1,1,1,1,0,0,0
1075,overweight,female,pescatarian,daily,coal,private,hybrid,never,132,rarely,5738,medium,3,20,20,23,1,2240,0,1,1,1,1,1,1,1,1
1076,overweight,female,vegan,twice a day,coal,private,hybrid,sometimes,141,rarely,8317,medium,6,12,45,9,1,3238,0,0,1,0,1,1,1,1,0
1077,overweight,female,vegetarian,twice a day,wood,walk/bicycle,none,often,275,rarely,11,extra large,7,15,24,3,0,2045,0,1,1,1,1,1,0,1,1
1078,normal,male,vegan,daily,wood,walk/bicycle,none,never,269,very frequently,52,extra large,6,12,15,1,2,2563,1,0,1,1,1,1,0,0,0
1079,obese,male,vegan,twice a day,electricity,public,bus,often,176,very frequently,833,small,7,1,44,6,1,3094,1,0,0,1,0,0,1,0,1
1080,normal,female,omnivore,less frequently,coal,public,bus,never,55,frequently,452,medium,4,5,13,6,1,1499,0,0,1,1,1,1,0,1,0
1081,normal,female,vegan,twice a day,wood,public,bus,often,158,rarely,590,extra large,1,16,30,1,2,1171,1,0,1,0,1,1,1,0,0
1082,obese,male,pescatarian,less frequently,coal,public,bus,never,157,never,1840,medium,2,19,15,24,1,1814,1,0,0,0,1,1,0,0,1
1083,underweight,female,vegetarian,daily,coal,private,lpg,often,296,frequently,1060,medium,1,6,47,10,0,2376,0,0,0,0,0,0,0,0,1
1084,normal,male,vegan,daily,natural gas,private,hybrid,often,108,never,5074,small,1,11,19,7,2,1818,1,0,0,1,0,0,1,0,1
1085,obese,male,omnivore,more frequently,natural gas,public,bus,never,176,rarely,1134,extra large,3,7,0,10,0,1559,1,0,1,1,0,0,1,0,1
1086,overweight,male,omnivore,more frequently,coal,private,electric,sometimes,60,frequently,1518,extra large,2,20,28,14,1,2458,0,1,0,1,1,1,0,1,1
1087,overweight,male,omnivore,twice a day,wood,public,bus,sometimes,138,very frequently,1801,small,5,3,9,11,2,2646,0,0,1,1,1,1,1,0,0
1088,normal,female,vegetarian,daily,wood,public,bus,sometimes,202,rarely,1903,large,4,9,14,22,2,1447,1,0,0,0,0,0,0,0,0
1089,underweight,male,pescatarian,less frequently,natural gas,public,bus,sometimes,60,never,770,medium,4,8,29,2,2,971,1,1,1,0,0,0,0,1,1
1090,underweight,female,omnivore,less frequently,coal,walk/bicycle,none,never,185,frequently,0,small,4,4,11,0,2,1346,0,1,0,0,0,0,0,0,0
1091,overweight,female,omnivore,twice a day,natural gas,walk/bicycle,none,never,205,rarely,10,medium,1,12,50,2,1,1514,0,1,1,0,0,0,0,1,0
1092,normal,male,omnivore,twice a day,wood,private,hybrid,sometimes,212,rarely,2801,large,7,21,30,13,1,2738,1,0,0,1,1,1,0,0,1
1093,overweight,male,pescatarian,less frequently,wood,private,diesel,often,69,frequently,8272,large,4,17,39,21,1,4981,1,0,0,1,1,1,1,0,1
1094,normal,male,pescatarian,daily,wood,walk/bicycle,none,often,81,very frequently,85,large,7,17,20,8,0,2871,0,1,1,1,1,1,1,1,0
1095,normal,male,omnivore,twice a day,coal,public,bus,sometimes,109,frequently,785,extra large,7,11,30,1,0,3062,1,0,0,0,0,0,1,0,0
1096,normal,female,pescatarian,twice a day,natural gas,private,electric,often,294,never,9740,large,2,1,22,4,0,1041,0,1,1,0,0,0,1,0,0
1097,overweight,female,vegan,less frequently,natural gas,public,bus,sometimes,217,frequently,434,medium,3,22,10,16,1,1614,1,0,1,1,1,1,1,0,1
1098,overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,none,never,247,never,31,small,7,19,27,23,0,1243,1,1,1,0,1,1,1,0,1
1099,normal,female,pescatarian,more frequently,coal,public,bus,often,77,never,1262,large,4,23,1,3,0,998,1,1,1,1,1,1,1,0,0
1100,obese,male,vegetarian,daily,natural gas,walk/bicycle,none,often,208,very frequently,82,small,3,10,33,18,0,3383,0,1,1,1,1,1,1,1,1
1101,overweight,female,vegetarian,less frequently,natural gas,public,bus,sometimes,200,rarely,324,extra large,3,8,19,8,0,1553,0,0,1,0,0,0,0,1,1
1102,normal,male,pescatarian,twice a day,electricity,walk/bicycle,none,sometimes,98,rarely,79,small,2,18,22,23,0,1255,1,0,0,0,1,1,1,0,0
1103,underweight,male,vegetarian,twice a day,natural gas,private,petrol,never,185,frequently,4579,small,6,5,2,1,2,2839,1,1,0,0,0,0,0,0,0
1104,obese,male,vegan,more frequently,coal,walk/bicycle,none,never,203,rarely,9,large,3,1,11,10,1,1920,0,0,0,1,1,1,0,0,1
1105,normal,female,pescatarian,twice a day,coal,private,petrol,often,292,never,6734,small,6,17,43,15,0,4102,1,0,0,0,0,0,0,0,0
1106,underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,134,rarely,2226,extra large,3,18,50,19,2,1807,0,0,1,0,1,1,0,1,1
1107,underweight,female,omnivore,less frequently,electricity,public,bus,often,217,rarely,895,small,6,14,50,19,2,1550,0,1,0,0,0,0,1,1,1
1108,overweight,female,vegetarian,less frequently,wood,public,bus,often,118,frequently,1383,large,3,16,49,4,1,2033,1,1,1,1,0,0,1,1,0
1109,obese,male,pescatarian,daily,electricity,walk/bicycle,none,sometimes,84,rarely,8,large,5,19,15,20,1,1828,1,0,0,0,0,0,1,0,1
1110,underweight,male,pescatarian,more frequently,wood,walk/bicycle,none,often,283,very frequently,39,extra large,6,10,13,2,0,3053,1,1,0,1,0,0,1,0,0
1111,obese,female,pescatarian,less frequently,electricity,walk/bicycle,none,sometimes,265,rarely,57,large,1,20,41,18,2,1320,1,1,0,1,1,1,0,1,0
1112,underweight,female,vegan,less frequently,coal,public,bus,sometimes,201,very frequently,407,medium,3,3,25,12,0,2109,1,1,0,0,0,0,1,1,0
1113,underweight,male,vegan,daily,coal,private,hybrid,sometimes,265,rarely,414,medium,4,8,28,20,2,1715,0,0,0,1,0,0,1,0,1
1114,overweight,female,vegan,daily,wood,walk/bicycle,none,often,84,never,69,medium,7,23,7,19,0,1124,1,1,1,1,1,1,0,1,0
1115,underweight,female,vegetarian,more frequently,electricity,private,hybrid,often,102,rarely,6926,small,2,12,41,11,2,1939,1,0,1,0,0,0,1,0,1
1116,normal,female,vegetarian,daily,wood,public,bus,sometimes,249,never,361,large,2,3,10,19,0,888,0,1,1,0,0,0,0,1,1
1117,obese,male,pescatarian,more frequently,coal,public,bus,often,170,rarely,1496,small,1,4,41,11,1,2379,0,0,1,1,1,1,1,1,1
1118,overweight,female,vegan,daily,wood,walk/bicycle,none,sometimes,75,frequently,59,large,6,4,38,24,0,1971,1,1,1,1,0,0,0,1,0
1119,obese,female,vegan,daily,wood,public,bus,never,121,very frequently,752,small,1,14,21,3,0,2268,1,0,1,0,1,1,1,1,1
1120,normal,male,vegan,more frequently,natural gas,private,diesel,sometimes,228,rarely,8003,extra large,7,18,24,5,2,4299,1,0,0,1,0,0,0,1,1
1121,overweight,female,vegetarian,more frequently,electricity,private,hybrid,often,196,rarely,5308,large,5,10,18,14,2,2297,0,0,0,1,1,1,1,1,0
1122,obese,male,omnivore,less frequently,electricity,public,bus,often,121,rarely,235,small,5,0,4,18,0,1213,1,0,1,0,1,1,1,0,0
1123,underweight,male,omnivore,daily,coal,private,diesel,often,227,frequently,6512,small,1,21,49,19,1,4048,0,1,1,0,0,0,0,1,0
1124,obese,male,pescatarian,daily,coal,walk/bicycle,none,sometimes,287,rarely,7,small,2,2,25,16,0,1950,0,1,0,1,0,0,1,1,0
1125,overweight,female,omnivore,less frequently,wood,public,bus,never,58,rarely,1901,small,5,20,15,0,0,1149,1,1,0,0,1,1,1,0,0
1126,overweight,female,pescatarian,more frequently,wood,public,bus,often,114,never,1334,large,4,24,26,6,2,1365,1,1,1,0,1,1,0,0,1
1127,underweight,male,vegetarian,more frequently,coal,private,electric,often,219,rarely,6840,large,7,15,24,7,0,1966,1,0,1,0,0,0,1,0,0
1128,underweight,female,pescatarian,daily,wood,walk/bicycle,none,sometimes,57,very frequently,70,large,2,1,13,0,1,1965,0,0,0,1,1,1,1,1,0
1129,overweight,male,omnivore,daily,coal,private,diesel,never,133,very frequently,3371,small,6,3,43,12,1,3934,1,1,1,0,0,0,0,0,0
1130,normal,male,omnivore,more frequently,wood,private,petrol,never,183,never,8669,small,5,10,31,17,1,4684,0,1,0,1,0,0,1,0,1
1131,overweight,female,vegan,more frequently,electricity,walk/bicycle,none,never,128,frequently,70,extra large,4,7,10,18,2,1564,1,0,1,0,1,1,0,0,1
1132,normal,male,vegetarian,twice a day,coal,public,bus,often,281,frequently,98,large,5,16,19,19,2,2677,0,0,0,0,0,0,1,1,1
1133,underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,none,sometimes,242,rarely,22,medium,7,5,13,8,2,1101,1,1,0,1,0,0,0,0,0
1134,overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,none,sometimes,208,very frequently,96,extra large,4,17,50,12,0,3189,0,0,0,1,0,0,0,0,0
1135,underweight,male,pescatarian,less frequently,natural gas,public,bus,sometimes,255,rarely,282,extra large,1,8,14,9,2,1279,0,0,1,0,1,1,0,1,1
1136,obese,male,omnivore,more frequently,electricity,private,petrol,often,241,very frequently,4501,extra large,1,3,25,3,2,4878,1,1,1,1,1,1,0,1,1
1137,underweight,male,pescatarian,less frequently,natural gas,public,bus,sometimes,63,rarely,1561,large,4,18,29,2,0,1547,0,1,0,1,0,0,1,1,0
1138,normal,male,vegan,more frequently,wood,private,hybrid,never,261,never,7084,small,6,19,18,23,1,2398,0,0,1,0,0,0,0,1,1
1139,normal,female,omnivore,more frequently,coal,private,hybrid,often,217,very frequently,2258,medium,4,11,22,1,2,2717,0,1,1,1,0,0,1,0,0
1140,obese,female,vegan,daily,electricity,private,hybrid,often,155,rarely,8070,small,1,20,34,21,0,2671,1,0,1,0,1,1,0,0,0
1141,overweight,male,pescatarian,less frequently,electricity,walk/bicycle,none,often,234,never,37,small,7,13,11,14,2,1209,0,0,0,1,1,1,1,0,1
1142,underweight,male,vegan,daily,natural gas,private,lpg,never,151,very frequently,5123,large,1,2,18,14,2,3566,0,1,0,1,0,0,0,1,1
1143,normal,male,pescatarian,twice a day,electricity,walk/bicycle,none,often,285,never,15,extra large,5,1,23,9,0,1737,0,1,0,0,1,1,1,0,1
1144,obese,male,vegan,less frequently,electricity,walk/bicycle,none,never,143,rarely,5,small,4,18,10,23,1,1007,1,1,0,0,1,1,0,1,0
1145,underweight,male,vegetarian,daily,natural gas,private,petrol,never,168,frequently,7584,large,5,15,48,23,2,4851,1,0,1,0,0,0,0,0,0
1146,obese,female,omnivore,less frequently,wood,walk/bicycle,none,often,129,never,12,medium,5,8,14,16,1,1459,1,0,0,0,1,1,0,1,1
1147,underweight,male,pescatarian,more frequently,coal,private,lpg,often,95,rarely,3287,medium,7,14,39,23,0,3073,0,0,0,0,0,0,0,0,0
1148,overweight,male,vegetarian,daily,wood,public,bus,never,224,never,1980,small,1,11,6,5,0,916,1,1,0,1,1,1,1,1,1
1149,overweight,male,vegetarian,more frequently,natural gas,private,electric,sometimes,104,frequently,520,small,3,17,36,17,1,2214,0,1,0,1,0,0,1,1,0
1150,overweight,female,omnivore,daily,electricity,private,petrol,never,221,rarely,353,extra large,3,1,13,19,1,1469,1,0,0,1,1,1,0,0,1
1151,underweight,female,omnivore,less frequently,electricity,public,bus,often,172,frequently,1002,extra large,1,12,42,19,0,1674,1,0,1,0,0,0,0,0,0
1152,normal,female,vegetarian,less frequently,natural gas,private,electric,often,185,never,1059,medium,6,19,29,5,0,1308,1,1,0,1,1,1,0,1,1
1153,obese,male,vegetarian,more frequently,natural gas,private,electric,often,290,never,1454,extra large,1,10,19,9,2,1386,0,1,0,1,0,0,0,0,0
1154,normal,female,vegan,less frequently,coal,public,bus,never,66,frequently,408,medium,5,24,22,5,2,1663,0,1,0,1,0,0,1,1,0
1155,underweight,female,vegetarian,less frequently,wood,private,diesel,never,60,very frequently,42,large,3,1,29,1,0,1912,1,1,1,1,1,1,1,1,0
1156,obese,female,vegan,less frequently,natural gas,private,electric,often,225,frequently,4955,extra large,5,2,0,3,0,1828,1,1,1,1,0,0,0,1,0
1157,obese,male,omnivore,less frequently,wood,walk/bicycle,none,never,85,very frequently,10,large,6,18,23,6,0,3346,0,0,1,1,1,1,0,1,1
1158,obese,male,omnivore,daily,coal,private,lpg,sometimes,65,frequently,2430,large,4,12,19,8,0,3340,0,0,1,1,0,0,1,0,1
1159,normal,male,pescatarian,twice a day,natural gas,public,bus,sometimes,83,frequently,840,extra large,5,13,29,23,2,2446,0,0,1,1,1,1,0,0,1
1160,underweight,female,vegan,more frequently,natural gas,walk/bicycle,none,often,251,very frequently,93,large,4,17,9,24,2,2300,0,0,1,1,0,0,0,0,0
1161,normal,female,vegan,more frequently,wood,private,diesel,sometimes,85,frequently,5608,large,4,1,6,16,2,2859,0,0,0,1,1,1,1,0,0
1162,underweight,male,pescatarian,less frequently,coal,walk/bicycle,none,never,235,frequently,39,small,2,1,36,3,1,1876,1,0,1,1,0,0,1,0,1
1163,overweight,female,omnivore,more frequently,natural gas,walk/bicycle,none,never,126,never,16,large,3,13,33,4,0,1335,0,0,1,0,0,0,0,1,1
1164,underweight,female,vegan,less frequently,natural gas,public,bus,never,279,never,426,extra large,6,20,33,1,2,1320,1,1,1,1,0,0,0,1,0
1165,obese,female,vegan,twice a day,electricity,public,bus,often,184,frequently,1234,medium,1,13,39,21,0,2200,0,0,1,0,0,0,1,1,1
1166,underweight,female,vegan,less frequently,natural gas,public,bus,often,185,rarely,1489,large,5,23,14,1,1,1249,1,1,0,1,1,1,1,0,1
1167,obese,male,pescatarian,less frequently,electricity,private,hybrid,sometimes,79,very frequently,2583,small,5,19,17,6,2,3074,0,1,0,0,1,1,0,1,1
1168,normal,female,vegetarian,twice a day,natural gas,private,electric,sometimes,120,very frequently,115,medium,2,11,49,17,0,2509,1,0,0,1,0,0,0,0,0
1169,overweight,female,pescatarian,more frequently,wood,walk/bicycle,none,often,112,very frequently,53,large,4,6,20,4,1,2524,1,1,0,1,1,1,0,0,1
1170,overweight,female,vegetarian,more frequently,wood,public,bus,never,114,never,1555,large,4,19,15,2,1,1351,0,0,0,0,0,0,1,1,1
1171,obese,male,vegan,more frequently,wood,private,lpg,sometimes,271,rarely,8169,large,6,21,7,21,2,4550,1,0,1,1,1,1,1,1,1
1172,obese,female,vegetarian,more frequently,wood,walk/bicycle,none,never,275,never,28,extra large,1,4,32,17,0,1440,1,0,0,1,0,0,0,1,1
1173,overweight,male,omnivore,less frequently,coal,public,bus,often,253,never,505,extra large,2,24,0,6,2,1607,0,0,1,1,1,1,0,1,0
1174,underweight,male,pescatarian,daily,coal,public,bus,often,158,never,948,small,5,12,32,12,2,1560,0,1,0,1,1,1,0,1,1
1175,underweight,female,pescatarian,daily,electricity,public,bus,sometimes,247,never,712,large,1,2,17,5,1,675,1,1,0,0,1,1,0,1,0
1176,overweight,male,vegan,daily,wood,private,electric,never,109,very frequently,3363,large,6,17,22,20,2,2971,0,1,0,1,0,0,0,1,0
1177,overweight,female,vegetarian,less frequently,wood,walk/bicycle,none,never,271,never,49,extra large,1,13,33,7,1,1075,0,1,1,0,1,1,0,0,1
1178,underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,none,sometimes,294,rarely,11,large,6,14,13,23,1,1528,1,0,1,1,0,0,1,0,0
1179,obese,male,vegetarian,less frequently,coal,private,petrol,never,87,very frequently,9096,medium,2,11,43,4,1,7226,1,0,1,0,0,0,1,1,1
1180,underweight,female,omnivore,daily,coal,private,diesel,never,88,very frequently,8948,small,1,16,5,3,2,3495,0,1,1,0,0,0,0,1,0
1181,underweight,male,omnivore,less frequently,natural gas,walk/bicycle,none,sometimes,91,rarely,43,medium,2,16,26,19,2,1537,0,0,0,0,1,1,0,1,1
1182,obese,male,pescatarian,more frequently,wood,walk/bicycle,none,never,227,very frequently,2,medium,6,18,10,23,0,3189,1,1,0,0,0,0,0,1,0
1183,obese,male,vegan,twice a day,wood,private,petrol,sometimes,246,very frequently,9739,extra large,1,5,21,21,0,7337,1,1,1,1,0,0,0,0,1
1184,obese,male,vegan,daily,wood,public,bus,often,162,frequently,546,extra large,5,21,17,12,1,2936,0,1,1,0,0,0,1,0,1
1185,underweight,male,vegetarian,more frequently,wood,public,bus,often,170,frequently,1316,large,4,6,46,3,2,2344,1,1,0,1,0,0,0,1,1
1186,obese,female,omnivore,more frequently,coal,private,diesel,often,97,rarely,1212,extra large,1,17,35,14,0,2097,1,1,1,1,1,1,1,0,1
1187,overweight,female,vegan,more frequently,wood,walk/bicycle,none,often,155,very frequently,17,extra large,5,7,27,10,2,2760,1,1,1,0,1,1,1,1,0
1188,obese,female,vegetarian,daily,coal,private,lpg,never,121,never,7011,small,2,22,27,1,1,3131,0,0,1,1,0,0,0,1,0
1189,overweight,male,vegan,less frequently,electricity,public,bus,never,294,very frequently,1056,medium,1,24,2,7,2,1960,1,0,1,0,1,1,1,1,1
1190,obese,female,omnivore,daily,natural gas,private,electric,often,202,frequently,7892,medium,3,4,49,10,0,2349,1,0,1,1,1,1,0,0,1
1191,overweight,male,vegan,daily,wood,public,bus,never,275,never,657,extra large,2,9,38,11,2,1557,0,0,1,0,1,1,1,1,0
1192,normal,female,vegan,daily,wood,walk/bicycle,none,sometimes,289,rarely,40,small,3,4,15,7,1,919,1,0,1,1,1,1,0,1,0
1193,overweight,male,omnivore,daily,natural gas,public,bus,sometimes,246,never,1191,extra large,1,15,3,4,1,952,1,1,1,0,0,0,1,0,1
1194,obese,male,omnivore,daily,natural gas,private,electric,often,107,rarely,2434,small,5,19,39,20,1,2057,0,0,1,1,0,0,1,1,1
1195,obese,female,vegetarian,daily,electricity,private,electric,often,132,very frequently,8052,extra large,1,19,17,6,2,2415,0,0,0,1,0,0,1,1,1
1196,overweight,female,vegan,daily,coal,private,diesel,often,222,frequently,740,medium,1,13,36,23,1,2405,1,0,0,0,0,0,0,0,0
1197,overweight,male,vegetarian,more frequently,electricity,private,lpg,often,286,rarely,3370,large,2,8,12,16,0,2457,0,0,1,1,1,1,1,1,1
1198,overweight,female,omnivore,less frequently,wood,private,petrol,sometimes,133,never,1041,large,2,4,50,6,1,1780,0,0,1,1,0,0,1,1,0
1199,underweight,male,vegan,more frequently,coal,private,electric,often,82,never,8941,medium,4,17,26,16,0,1510,0,0,1,1,1,1,0,0,1
1200,obese,female,vegetarian,more frequently,electricity,private,petrol,never,156,frequently,8541,small,4,22,5,13,1,4506,0,1,1,1,0,0,0,1,1
1201,obese,male,omnivore,daily,natural gas,public,bus,never,172,frequently,353,large,3,0,27,24,0,2584,0,1,0,1,0,0,0,1,0
1202,overweight,female,omnivore,twice a day,natural gas,walk/bicycle,none,sometimes,66,frequently,65,large,1,16,9,20,0,1563,0,0,1,1,0,0,0,1,1
1203,overweight,male,pescatarian,less frequently,wood,private,petrol,often,259,very frequently,1904,extra large,4,24,26,1,0,4171,0,0,1,1,0,0,0,0,0
1204,underweight,female,pescatarian,daily,coal,private,electric,sometimes,76,frequently,6819,large,4,11,48,9,2,2207,0,0,0,0,1,1,1,0,0
1205,normal,female,omnivore,less frequently,coal,private,lpg,sometimes,91,never,6673,large,4,18,8,12,0,2679,0,0,1,1,0,0,0,1,1
1206,overweight,male,vegan,daily,electricity,walk/bicycle,none,sometimes,169,never,3,medium,4,16,31,20,0,1213,1,0,1,1,1,1,0,0,0
